td_item,project,discussion_period,developers_in_discussion,introducer_in_discussion
CAMEL-789|0,camel,1,2,False
CAMEL-1173|0,camel,55,2,True
CAMEL-1507|0,camel,1,3,True
CAMEL-2559|0,camel,3,2,False
CAMEL-2756|0,camel,1,2,False
CAMEL-3112|0,camel,1,2,False
CAMEL-3125|0,camel,3,2,True
CAMEL-3315|0,camel,62,3,False
CAMEL-4132|0,camel,1,2,False
CAMEL-4357|0,camel,1,2,True
CAMEL-4357|1,camel,3,2,True
CAMEL-4398|0,camel,1,2,True
CAMEL-6043|0,camel,1,3,False
CAMEL-6403|0,camel,73,2,False
CAMEL-8091|0,camel,1,2,True
CAMEL-8174|1,camel,52,2,True
CAMEL-9338|0,camel,1,2,True
CAMEL-9616|0,camel,1,2,False
CAMEL-9752|0,camel,1,3,True
CAMEL-10476|0,camel,1,2,False
CAMEL-11196|0,camel,1,3,True
CAMEL-11524|0,camel,1,2,True
CAMEL-11868|0,camel,3,4,True
HADOOP-6151|0,hadoop,65,4,True
HADOOP-6229|0,hadoop,1,6,False
HADOOP-6283|0,hadoop,14,3,False
HADOOP-6374|0,hadoop,58,4,True
HADOOP-6435|0,hadoop,5,3,False
HADOOP-6839|0,hadoop,17,4,True
HADOOP-6925|0,hadoop,1,5,False
HADOOP-7375|0,hadoop,2,4,True
HADOOP-7924|0,hadoop,16,3,True
HADOOP-8341|0,hadoop,1,3,False
HADOOP-9791|0,hadoop,12,5,False
HADOOP-10485|0,hadoop,1,4,True
HADOOP-10681|0,hadoop,1,4,True
HADOOP-11013|0,hadoop,1,4,True
HADOOP-11117|0,hadoop,1,3,False
HADOOP-11201|0,hadoop,34,3,False
HADOOP-11379|0,hadoop,1,4,False
HADOOP-11421|0,hadoop,1,3,False
HADOOP-11523|0,hadoop,1,4,True
HADOOP-11544|0,hadoop,1,4,True
HADOOP-11607|0,hadoop,1,3,False
HADOOP-11658|0,hadoop,1,3,False
HADOOP-11730|0,hadoop,35,4,False
HADOOP-12135|0,hadoop,9,4,True
HADOOP-12829|0,hadoop,2,5,False
HADOOP-12888|0,hadoop,8,3,False
HADOOP-13158|0,hadoop,1,3,True
HADOOP-14351|0,hadoop,1,3,True
HADOOP-14942|0,hadoop,1,3,False
HADOOP-16435|0,hadoop,9,4,False
HADOOP-16461|0,hadoop,2,4,False
HBASE-506|0,hbase,1,3,True
HBASE-1655|0,hbase,1,4,True
HBASE-1655|1,hbase,1,4,True
HBASE-2085|0,hbase,1,3,False
HBASE-2969|0,hbase,1,3,False
HBASE-3368|0,hbase,70,4,False
HBASE-3625|0,hbase,2,6,True
HBASE-3807|0,hbase,110,4,True
HBASE-3807|1,hbase,110,4,True
HBASE-4088|0,hbase,1,3,True
HBASE-4250|0,hbase,1,2,False
HBASE-11511|0,hbase,1,3,False
HBASE-11621|0,hbase,1,4,False
HBASE-12030|0,hbase,5,6,True
HBASE-12238|0,hbase,1,3,True
HBASE-12464|0,hbase,6,7,True
HBASE-12464|1,hbase,6,7,True
HBASE-12833|0,hbase,5,4,False
HBASE-13395|0,hbase,595,8,False
HBASE-13871|0,hbase,1,4,False
HBASE-14494|0,hbase,1,4,False
HBASE-15192|0,hbase,2,4,False
HBASE-15640|0,hbase,1,3,True
HBASE-15835|0,hbase,1,6,True
HBASE-15835|2,hbase,3,6,False
HBASE-16157|0,hbase,4,4,False
HBASE-17338|0,hbase,67,3,False
HBASE-17480|0,hbase,2,3,False
HBASE-18085|0,hbase,4,4,True
HBASE-18180|0,hbase,5,4,False
HBASE-19241|0,hbase,1,4,True
HBASE-19815|0,hbase,1,2,True
HBASE-20100|1,hbase,1,2,True
HBASE-20975|0,hbase,62,4,False
HBASE-21160|0,hbase,7,3,False
HBASE-21589|0,hbase,1,4,True
HBASE-22174|0,hbase,1,3,False
IMPALA-563|0,impala,31,2,False
IMPALA-636|0,impala,22,3,True
IMPALA-710|0,impala,3,3,True
IMPALA-979|0,impala,3,2,True
IMPALA-1493|0,impala,1,3,False
IMPALA-1691|0,impala,12,2,True
IMPALA-1774|0,impala,32,3,True
IMPALA-5341|0,impala,179,3,False
IMPALA-8005|0,impala,416,2,False
IMPALA-8248|0,impala,6,2,True
IMPALA-9530|0,impala,1,2,False
THRIFT-503|0,thrift,465,3,True
THRIFT-873|0,thrift,1,3,True
THRIFT-1103|0,thrift,1,2,False
THRIFT-1217|0,thrift,1,3,False
THRIFT-1243|1,thrift,41,4,False
THRIFT-1290|0,thrift,1,3,False
THRIFT-1810|0,thrift,388,3,False
THRIFT-1813|1,thrift,312,4,False
THRIFT-2328|1,thrift,32,4,True
THRIFT-2568|0,thrift,1,3,True
THRIFT-2666|0,thrift,18,2,True
THRIFT-2768|0,thrift,1,3,False
THRIFT-3905|0,thrift,1,2,True
THRIFT-4043|0,thrift,5,2,False
