td_item,remediation_latency_without_discussion,is_self_resolved
CAMEL-149|0,1,True
CAMEL-251|0,8,False
CAMEL-721|0,1,True
CAMEL-789|0,1,True
CAMEL-1107|0,1,True
CAMEL-1112|0,5,False
CAMEL-1173|0,55,True
CAMEL-1196|0,1,True
CAMEL-1228|0,1,False
CAMEL-1256|0,5,True
CAMEL-1256|1,5,True
CAMEL-1270|0,1,True
CAMEL-1447|0,39,True
CAMEL-1507|0,1,False
CAMEL-1641|0,2,True
CAMEL-1842|0,1,False
CAMEL-1944|0,1,False
CAMEL-2094|0,1,True
CAMEL-2535|0,1,False
CAMEL-2559|0,3,True
CAMEL-2650|0,1,True
CAMEL-2682|0,1,True
CAMEL-2756|0,1,False
CAMEL-2879|0,1,False
CAMEL-2892|0,1,True
CAMEL-3048|0,10,False
CAMEL-3050|0,1,True
CAMEL-3077|0,1,False
CAMEL-3100|0,1,False
CAMEL-3112|0,1,False
CAMEL-3125|0,3,False
CAMEL-3315|0,112,True
CAMEL-4132|0,1,False
CAMEL-4357|0,3,True
CAMEL-4357|1,4,True
CAMEL-4398|0,1,False
CAMEL-4736|0,1,True
CAMEL-6043|0,21,False
CAMEL-6403|0,72,False
CAMEL-8091|0,11,False
CAMEL-8174|1,70,False
CAMEL-9338|0,17,False
CAMEL-9616|0,1,True
CAMEL-9752|0,1,False
CAMEL-10048|0,1,False
CAMEL-10476|0,4,False
CAMEL-10507|0,1,True
CAMEL-10517|0,1,True
CAMEL-10678|0,1,False
CAMEL-10950|0,1,True
CAMEL-11171|0,1,True
CAMEL-11196|0,16,False
CAMEL-11282|0,153,False
CAMEL-11524|0,6,False
CAMEL-11868|1,16,True
CAMEL-11868|0,16,False
CAMEL-12104|0,83,False
CAMEL-12104|2,63,False
CAMEL-12104|1,64,False
CAMEL-12624|0,9,False
CAMEL-12646|0,1,True
CAMEL-13681|0,1,True
HADOOP-6151|0,65,True
HADOOP-6229|0,5,False
HADOOP-6283|0,15,True
HADOOP-6374|0,68,False
HADOOP-6435|0,12,False
HADOOP-6839|0,19,False
HADOOP-6839|1,19,False
HADOOP-6925|0,1,False
HADOOP-7375|0,2,False
HADOOP-7924|0,22,True
HADOOP-8341|0,7,True
HADOOP-8633|0,2,False
HADOOP-8985,1,False
HADOOP-9791|0,51,True
HADOOP-10106|0,30,False
HADOOP-10169|0,3,False
HADOOP-10169|1,3,False
HADOOP-10214|0,1,False
HADOOP-10214|1,1,False
HADOOP-10343|0,1,True
HADOOP-10353|0,7,False
HADOOP-10432|0,15,True
HADOOP-10485|0,1,True
HADOOP-10496|0,1,True
HADOOP-10499|0,2,False
HADOOP-10526|0,868,False
HADOOP-10681|0,116,False
HADOOP-10681|1,116,False
HADOOP-10681|2,116,False
HADOOP-10729|0,537,False
HADOOP-10979|0,331,True
HADOOP-11013|0,1,True
HADOOP-11014|0,209,False
HADOOP-11063|0,1,True
HADOOP-11103|0,244,False
HADOOP-11117|0,8,True
HADOOP-11201|0,35,False
HADOOP-11379|0,1,False
HADOOP-11421|0,1,True
HADOOP-11523|0,1,False
HADOOP-11544|0,1,False
HADOOP-11607|0,3,False
HADOOP-11658|0,1,False
HADOOP-11730|0,35,False
HADOOP-11837,2,False
HADOOP-12135|0,9,True
HADOOP-12368|0,1,True
HADOOP-12520|0,1,True
HADOOP-12701|0,116,False
HADOOP-12733|0,347,False
HADOOP-12733|1,347,False
HADOOP-12811|0,57,False
HADOOP-12829|0,3,False
HADOOP-12888|0,16,False
HADOOP-12923|0,1,True
HADOOP-12952|0,1,False
HADOOP-13158|0,1,False
HADOOP-14351|0,1,False
HADOOP-14942|0,9,False
HADOOP-16435|0,12,False
HADOOP-16461|0,2,True
HBASE-506|0,3,True
HBASE-980|0,1,True
HBASE-1054|0,1,False
HBASE-1298|0,4,False
HBASE-1396|0,1,True
HBASE-1655|0,3,False
HBASE-1655|1,3,False
HBASE-2085|0,1,False
HBASE-2241|0,1,True
HBASE-2969|0,1,False
HBASE-3368|0,75,True
HBASE-3625|0,4,False
HBASE-3807|0,111,True
HBASE-3807|1,111,True
HBASE-4088|0,1,True
HBASE-4250|0,1,True
HBASE-10008|0,1,True
HBASE-10631|0,1,True
HBASE-10968|0,1,True
HBASE-10968|1,1,True
HBASE-11011|0,1,True
HBASE-11229|0,1,True
HBASE-11511|0,1,True
HBASE-11621|0,1,True
HBASE-12030|0,6,False
HBASE-12059|0,1,True
HBASE-12106|0,10,False
HBASE-12238|0,16,True
HBASE-12464|0,8,False
HBASE-12464|1,8,False
HBASE-12833|0,7,False
HBASE-12833|1,7,False
HBASE-12833|2,7,False
HBASE-13395|0,595,False
HBASE-13710|0,1,True
HBASE-13871|0,1,False
HBASE-13905|0,1,True
HBASE-14494|0,1,True
HBASE-14517|0,9,False
HBASE-14517|1,9,False
HBASE-14604|0,6,False
HBASE-14604|1,6,False
HBASE-15192|0,3,True
HBASE-15617|0,24,False
HBASE-15640|0,8,True
HBASE-15835|0,8,True
HBASE-15835|2,8,True
HBASE-15835|1,8,True
HBASE-16157|0,1,False
HBASE-16856|0,1,False
HBASE-17101|0,24,True
HBASE-17184|0,4,False
HBASE-17338|0,81,False
HBASE-17480|0,2,True
HBASE-18085|0,5,True
HBASE-18092|0,3,True
HBASE-18180|0,5,True
HBASE-18646|0,11,False
HBASE-19073|0,3,True
HBASE-19183|0,1,True
HBASE-19241|0,2,True
HBASE-19373|0,1,True
HBASE-19478|0,22,True
HBASE-19531|0,2,False
HBASE-19815|0,1,True
HBASE-20100|1,1,True
HBASE-20975|0,14,True
HBASE-21160|0,11,True
HBASE-21589|0,4,True
HBASE-22174|0,1,True
IMPALA-231|0,5,True
IMPALA-231|1,5,True
IMPALA-321|0,44,False
IMPALA-322|0,6,False
IMPALA-330|0,300,True
IMPALA-563|0,44,False
IMPALA-636|0,20,False
IMPALA-710|0,1,False
IMPALA-979|0,3,False
IMPALA-1013|0,14,False
IMPALA-1022|0,1,True
IMPALA-1120|0,162,False
IMPALA-1147|0,17,False
IMPALA-1290|0,1,True
IMPALA-1430|0,701,False
IMPALA-1493|0,1,False
IMPALA-1596|0,6,True
IMPALA-1598|0,53,False
IMPALA-1651|0,383,False
IMPALA-1691|0,12,False
IMPALA-1774|0,34,False
IMPALA-1929|0,104,True
IMPALA-1934|0,236,False
IMPALA-1963|0,37,False
IMPALA-1963|1,43,False
IMPALA-2068|0,1,True
IMPALA-2076|0,259,False
IMPALA-2244|0,23,False
IMPALA-2295|0,1,True
IMPALA-2341|0,1,True
IMPALA-2435|0,1,False
IMPALA-2457|0,1,False
IMPALA-2632|0,1,True
IMPALA-2642|0,802,False
IMPALA-2707|0,5,True
IMPALA-3017|0,1,True
IMPALA-3077|0,48,False
IMPALA-3103|0,1,True
IMPALA-3276|0,1,True
IMPALA-3329|0,1,True
IMPALA-3344|0,35,True
IMPALA-3548|0,428,False
IMPALA-3652|0,876,False
IMPALA-3671|0,61,False
IMPALA-4652|0,34,True
IMPALA-5273|0,3,True
IMPALA-5341|0,179,False
IMPALA-5688|0,1,True
IMPALA-7205|0,1,False
IMPALA-8005|0,455,False
IMPALA-8248|0,86,False
IMPALA-9530|0,1,True
THRIFT-221|0,57,True
THRIFT-240|0,33,False
THRIFT-503|0,474,True
THRIFT-813|0,6,False
THRIFT-873|0,1,True
THRIFT-1003|0,4,False
THRIFT-1055|0,1,False
THRIFT-1065|0,5,False
THRIFT-1065|1,5,False
THRIFT-1065|2,5,False
THRIFT-1100|0,2,False
THRIFT-1103|0,1,False
THRIFT-1103|1,1,False
THRIFT-1176|0,2,False
THRIFT-1199|0,1,False
THRIFT-1199|1,1,False
THRIFT-1217|0,15,False
THRIFT-1231|0,3,False
THRIFT-1241|0,15,False
THRIFT-1241|1,15,False
THRIFT-1243|0,4,False
THRIFT-1243|1,49,False
THRIFT-1243|2,49,False
THRIFT-1248|0,1381,False
THRIFT-1269|0,5,False
THRIFT-1275|0,1,False
THRIFT-1290|0,1,False
THRIFT-1314|0,1,False
THRIFT-1349|0,722,False
THRIFT-1452|0,2,False
THRIFT-1480|0,3,False
THRIFT-1504|0,2,False
THRIFT-1533|0,536,False
THRIFT-1583|0,8,False
THRIFT-1595|0,257,False
THRIFT-1799|0,1,True
THRIFT-1810|0,388,True
THRIFT-1813|0,316,False
THRIFT-1813|1,316,False
THRIFT-1829|0,1,False
THRIFT-1842|0,1,True
THRIFT-1873|0,3,True
THRIFT-1924|0,15,True
THRIFT-1932|0,17,False
THRIFT-1982|0,6,False
THRIFT-1999|0,85,False
THRIFT-2017|0,52,False
THRIFT-2020|0,78,True
THRIFT-2021|0,118,True
THRIFT-2032|0,10,True
THRIFT-2032|1,10,True
THRIFT-2210|0,1,False
THRIFT-2225|0,116,False
THRIFT-2227|0,28,False
THRIFT-2246|0,6,False
THRIFT-2246|1,7,False
THRIFT-2263|0,22,False
THRIFT-2279|0,1,False
THRIFT-2328|0,31,False
THRIFT-2328|1,33,False
THRIFT-2568|0,1,False
THRIFT-2666|0,18,True
THRIFT-2768|0,1,True
THRIFT-3905|0,3,True
THRIFT-4014|0,1,True
THRIFT-4043|0,12,True
THRIFT-4830|0,104,True
