td_item,remediation_latency,is_fixer_involved_in_discussion
CAMEL-789|0,1,True
CAMEL-1173|0,1,True
CAMEL-1507|0,1,False
CAMEL-2559|0,1,True
CAMEL-2756|0,1,False
CAMEL-3112|0,1,False
CAMEL-3125|0,1,True
CAMEL-3315|0,50,True
CAMEL-4132|0,1,False
CAMEL-4357|0,3,True
CAMEL-4357|1,1,True
CAMEL-4398|0,1,False
CAMEL-6043|0,20,True
CAMEL-6403|0,1,True
CAMEL-8091|0,11,False
CAMEL-8174|1,18,True
CAMEL-9338|0,17,False
CAMEL-9616|0,1,True
CAMEL-9752|0,1,True
CAMEL-10476|0,3,True
CAMEL-11196|0,16,True
CAMEL-11524|0,6,False
CAMEL-11868|0,13,True
HADOOP-6151|0,1,True
HADOOP-6229|0,5,True
HADOOP-6283|0,1,True
HADOOP-6374|0,10,True
HADOOP-6435|0,7,True
HADOOP-6839|0,2,True
HADOOP-6925|0,1,True
HADOOP-7375|0,1,True
HADOOP-7924|0,6,True
HADOOP-8341|0,7,True
HADOOP-9791|0,39,True
HADOOP-10485|0,1,True
HADOOP-10681|0,115,True
HADOOP-11013|0,1,True
HADOOP-11117|0,7,True
HADOOP-11201|0,1,True
HADOOP-11379|0,1,True
HADOOP-11421|0,1,True
HADOOP-11523|0,1,True
HADOOP-11544|0,1,True
HADOOP-11607|0,2,True
HADOOP-11658|0,1,True
HADOOP-11730|0,1,True
HADOOP-12135|0,1,True
HADOOP-12829|0,1,True
HADOOP-12888|0,8,True
HADOOP-13158|0,1,True
HADOOP-14351|0,1,True
HADOOP-14942|0,9,True
HADOOP-16435|0,3,True
HADOOP-16461|0,1,True
HBASE-506|0,3,True
HBASE-1655|0,3,True
HBASE-1655|1,3,True
HBASE-2085|0,1,True
HBASE-2969|0,1,True
HBASE-3368|0,5,True
HBASE-3625|0,2,True
HBASE-3807|0,1,True
HBASE-3807|1,1,True
HBASE-4088|0,1,True
HBASE-4250|0,1,True
HBASE-11511|0,1,True
HBASE-11621|0,1,True
HBASE-12030|0,1,False
HBASE-12238|0,16,True
HBASE-12464|0,2,True
HBASE-12464|1,2,True
HBASE-12833|0,2,True
HBASE-13395|0,1,True
HBASE-13871|0,1,False
HBASE-14494|0,1,True
HBASE-15192|0,1,True
HBASE-15640|0,8,True
HBASE-15835|0,7,True
HBASE-15835|2,5,True
HBASE-16157|0,3,True
HBASE-17338|0,14,False
HBASE-17480|0,1,True
HBASE-18085|0,1,True
HBASE-18180|0,1,True
HBASE-19241|0,1,True
HBASE-19815|0,1,True
HBASE-20100|1,1,True
HBASE-20975|0,48,True
HBASE-21160|0,4,True
HBASE-21589|0,3,True
HBASE-22174|0,1,True
IMPALA-563|0,13,True
IMPALA-636|0,2,True
IMPALA-710|0,3,True
IMPALA-979|0,1,True
IMPALA-1493|0,1,True
IMPALA-1691|0,1,True
IMPALA-1774|0,2,True
IMPALA-5341|0,1,True
IMPALA-8005|0,39,False
IMPALA-8248|0,80,False
IMPALA-9530|0,1,True
THRIFT-503|0,9,True
THRIFT-873|0,1,True
THRIFT-1103|0,1,True
THRIFT-1217|0,14,True
THRIFT-1243|1,8,True
THRIFT-1290|0,1,True
THRIFT-1810|0,1,True
THRIFT-1813|1,4,True
THRIFT-2328|1,1,True
THRIFT-2568|0,1,True
THRIFT-2666|0,1,True
THRIFT-2768|0,1,True
THRIFT-3905|0,3,True
THRIFT-4043|0,7,True
